dimension,phase_sigma,asymmetry_level,case_id,coherence_magnitude,symmetry_gap_mean_abs,residual_abs
8,0.050000,0.350000,d8_s0.05_a0.35_k2,0.9984023977,0.2025791046,0.0023993348
8,0.050000,0.350000,d8_s0.05_a0.35_k3,0.9990445645,0.2185499196,0.0010260714
8,0.050000,0.550000,d8_s0.05_a0.55_k1,0.9987307928,0.3102138866,0.0009600738
8,0.050000,0.550000,d8_s0.05_a0.55_k2,0.9992219945,0.2985171193,0.0012099662
8,0.050000,0.550000,d8_s0.05_a0.55_k3,0.9989964728,0.3662044048,0.0003682335
8,0.150000,0.000000,d8_s0.15_a0.00_k1,0.9944033767,0.0000000000,0.0025887959
8,0.150000,0.000000,d8_s0.15_a0.00_k2,0.9896419757,0.0000000000,0.0013635857
8,0.150000,0.000000,d8_s0.15_a0.00_k3,0.9866511228,0.0000000000,0.0009754697
8,0.150000,0.150000,d8_s0.15_a0.15_k1,0.9916835110,0.0808420589,0.0013454913
8,0.150000,0.150000,d8_s0.15_a0.15_k2,0.9892031742,0.0856840881,0.0006788699
8,0.150000,0.150000,d8_s0.15_a0.15_k3,0.9897853303,0.0930084435,0.0063069398
8,0.150000,0.350000,d8_s0.15_a0.35_k1,0.9932595819,0.1606556142,0.0017461452
8,0.150000,0.350000,d8_s0.15_a0.35_k2,0.9901242047,0.2053902792,0.0123057560
8,0.150000,0.350000,d8_s0.15_a0.35_k3,0.9879643300,0.2035985486,0.0101774469
8,0.150000,0.550000,d8_s0.15_a0.55_k1,0.9904014687,0.2674120982,0.0050769186
8,0.150000,0.550000,d8_s0.15_a0.55_k2,0.9890058368,0.3194465268,0.0069419809
8,0.150000,0.550000,d8_s0.15_a0.55_k3,0.9891294311,0.3274894754,0.0023542887
8,0.300000,0.000000,d8_s0.30_a0.00_k1,0.9592202691,0.0000000000,0.0021664978
8,0.300000,0.000000,d8_s0.30_a0.00_k2,0.9449203509,0.0000000000,0.0001604068
8,0.300000,0.000000,d8_s0.30_a0.00_k3,0.9699662426,0.0000000000,0.0226299167
8,0.300000,0.150000,d8_s0.30_a0.15_k1,0.9747615385,0.0788986333,0.0126892705
8,0.300000,0.150000,d8_s0.30_a0.15_k2,0.9722497270,0.0868134778,0.0176289330
8,0.300000,0.150000,d8_s0.30_a0.15_k3,0.9313835620,0.0993765016,0.0071262907
8,0.300000,0.350000,d8_s0.30_a0.35_k1,0.9679779259,0.2015413568,0.0000176192
